classification,x1,x2
1,48.99,25.54
-1,-63.5,98.17
-1,-75.05,-85.82
-1,-31.15,81.23
1,48.0,97.23
-1,-36.28,-26.14
-1,-37.88,-40.22
1,3.66,27.17
-1,-97.61,54.09
1,87.75,-38.38
1,53.87,99.87
1,34.02,-26.42
1,30.6,63.17
-1,-75.36,-55.83
-1,-70.84,-9.74
1,64.56,-6.65
-1,-49.17,84.22
1,55.45,22.85
-1,-96.91,67.73
-1,-80.16,52.22
-1,-43.3,70.19
1,39.48,-31.28
1,94.24,-35.39
-1,-48.87,84.79
-1,-1.54,-51.56
-1,5.1,-56.34
1,42.95,59.75
1,54.52,84.58
1,75.29,-77.76
1,74.38,-10.78
-1,-42.3,-51.81
-1,-27.32,-52.2
1,4.94,-13.03
1,97.75,13.16
-1,-11.6,-25.25
1,51.36,-95.22
-1,-85.96,-1.54
-1,-82.45,-82.47
-1,-70.91,-74.38
1,30.21,3.64
1,23.93,-75.2
-1,-27.09,21.07
-1,-67.26,-72.56
1,7.86,61.9
-1,-13.4,55.66
-1,-96.34,-94.03
-1,-53.25,95.9
-1,-64.67,-38.41
1,42.56,-30.41
1,43.22,29.2
1,39.3,77.27
-1,-99.64,-15.73
-1,-61.93,92.88
-1,-20.39,-84.44
1,73.16,93.82
1,74.68,-97.49
-1,-20.81,60.85
1,50.57,5.82
1,66.04,-35.45
-1,-80.54,86.19
1,90.18,27.23
1,20.12,97.08
-1,-39.9,5.69
-1,-30.32,-51.07
-1,-40.33,36.75
1,56.98,11.86
-1,-62.76,83.45
1,5.04,-29.08
-1,-23.64,-85.89
1,52.41,39.32
-1,-11.77,93.7
-1,-56.92,92.6
-1,-42.8,55.91
1,79.26,-63.24
1,69.86,99.85
-1,-6.11,-81.28
1,43.78,-3.53
1,73.4,-37.99
1,31.33,9.63
1,36.74,85.01
1,69.55,-30.55
1,-1.64,22.9
-1,-73.89,96.03
1,46.13,84.64
-1,-69.66,36.84
-1,-65.25,57.55
1,13.76,74.72
1,32.27,2.72
1,-2.8,87.04
-1,6.82,-85.72
1,-0.96,12.25
1,39.56,65.54
-1,-66.95,-52.91
-1,-75.63,1.02
1,75.5,-57.37
1,40.15,31.34
-1,-38.46,87.65
-1,-79.46,-27.21
1,84.41,-33.07
1,69.13,-96.54
-1,-81.16,38.12
1,7.81,6.89
1,84.85,-44.14
-1,-48.76,-16.84
1,83.13,-2.31
1,48.55,62.18
-1,-39.45,47.34
-1,-69.78,-40.57
-1,-23.86,-69.21
-1,-62.57,-62.47
1,12.4,-93.05
-1,-62.44,-58.34
-1,-6.0,28.26
-1,-73.56,80.69
-1,-1.67,-9.33
-1,-75.48,-17.42
1,45.36,-28.49
1,23.54,58.25
1,7.47,-15.95
1,1.23,14.94
1,99.62,-8.02
1,44.12,85.44
-1,-82.32,-47.95
-1,-68.84,-86.67
1,71.78,-5.58
-1,-92.48,79.6
1,63.73,31.04
1,0.33,14.58
1,28.74,-6.22
1,21.0,-60.9
1,26.61,-82.9
1,5.79,19.26
-1,-45.06,-54.84
1,18.56,-34.65
1,74.33,88.33
1,75.16,-79.73
-1,-25.25,51.49
1,86.98,-53.14
-1,1.21,-46.09
1,19.62,-15.03
-1,-24.97,-5.24
-1,-96.38,4.68
-1,-65.34,77.67
1,30.16,76.47
-1,-45.71,68.08
1,45.96,21.09
1,94.68,-5.95
1,77.83,16.27
-1,-2.95,8.43
1,17.89,-61.47
1,56.77,95.72
-1,-41.57,52.97
1,23.08,58.89
1,49.4,-76.75
1,73.88,-86.38
-1,-88.3,-31.05
-1,-64.51,11.11
1,39.15,-71.94
1,80.57,-17.08
-1,-61.72,2.13
-1,-32.11,-10.03
-1,-82.91,18.79
-1,-55.87,-77.24
1,-3.26,59.36
-1,-68.94,-79.11
1,73.78,80.41
1,79.7,99.51
1,99.91,8.93
1,13.62,18.31
1,33.82,-88.55
1,11.59,-55.35
-1,-24.64,-73.02
1,72.92,-6.42
1,84.01,26.33
-1,-94.29,75.14
-1,-72.97,90.24
-1,-7.95,12.88
-1,-21.44,2.39
1,43.19,9.66
-1,-84.42,-39.71
1,8.34,-78.47
-1,-64.83,26.98
1,37.8,40.1
-1,-24.37,-21.79
1,53.91,95.93
1,80.84,94.69
-1,-0.35,-78.9
1,3.25,42.05
1,77.15,56.97
-1,-18.73,-95.6
-1,-60.03,9.38
-1,-83.01,20.14
-1,-66.0,40.83
1,50.93,63.08
1,21.38,37.24
1,10.51,-90.86
1,93.24,-93.33
1,19.14,-6.03
-1,-32.41,99.54
1,37.25,92.99
1,14.97,33.89
-1,-34.2,88.02
1,82.51,72.58
1,30.64,-5.5
-1,-87.57,53.78
-1,-48.0,72.2
-1,-36.95,9.43
-1,-4.85,-77.0
-1,-38.35,-33.09
1,67.23,84.64
1,59.68,-70.52
-1,-27.52,99.4
1,27.95,-63.95
-1,-76.5,52.44
-1,-66.68,47.25
1,23.48,23.86
1,39.48,-9.96
1,8.62,-80.14
-1,-88.16,50.32
1,11.89,44.77
1,76.99,59.03
1,3.15,-18.63
1,97.83,64.41
1,11.0,-55.22
1,64.92,75.05
1,13.65,-74.23
1,64.08,9.74
1,0.16,65.89
-1,-32.44,-66.91
-1,-36.19,-30.21
1,24.47,-2.55
-1,-28.32,8.89
1,81.98,-61.3
-1,-56.51,-27.32
1,73.55,-32.38
-1,-15.92,24.81
1,38.54,27.94
1,50.82,90.88
1,61.94,-24.54
-1,-42.93,-26.71
-1,-61.41,-35.32
1,2.97,36.9
-1,-71.9,-96.09
-1,-33.61,-55.35
-1,-69.77,15.46
-1,1.69,-97.08
1,26.14,28.86
1,8.12,-60.87
1,58.34,-80.55
-1,-52.09,-13.91
-1,-13.62,66.02
1,9.36,20.82
-1,-43.05,77.26
-1,-44.3,58.95
1,75.0,-2.7
-1,-29.9,17.1
1,88.46,63.32
1,84.29,66.28
-1,-73.16,-97.42
-1,5.44,-64.07
-1,2.89,-85.25
1,32.44,-25.44
1,90.55,41.75
-1,-41.78,2.96
-1,-95.83,-66.9
1,80.28,98.87
-1,-9.43,24.55
1,44.06,15.94
-1,-47.71,38.59
-1,0.15,-24.75
1,40.84,68.58
1,7.57,-56.0
-1,-8.44,-46.36
1,52.7,-28.01
-1,-15.87,-56.99
-1,-29.23,-25.5
1,58.13,-49.7
1,75.98,0.67
1,74.59,-47.31
1,80.15,23.68
-1,-28.63,43.18
1,64.97,-2.9
-1,-40.1,24.79
1,94.43,31.43
-1,-69.3,76.78
1,33.97,75.81
1,41.66,-60.26
1,72.26,-25.82
-1,-8.66,46.17
-1,-29.71,9.7
-1,-81.93,22.32
-1,-59.81,69.85
-1,-20.35,-14.08
-1,-49.3,-61.03
-1,-71.45,-11.47
1,24.81,-86.29
-1,-84.75,8.15
-1,-28.3,-28.21
1,14.07,-42.0
-1,-73.23,62.29
1,69.23,32.59
-1,-60.66,-36.16
1,37.22,61.64
1,73.92,78.04
-1,-81.52,24.34
1,61.66,-44.03
1,94.63,-11.75
1,89.52,-60.18
-1,-32.53,-96.1
-1,-23.77,43.23
-1,-100.0,-57.91
-1,-99.93,65.92
1,8.95,43.46
-1,-31.35,97.81
-1,-99.52,21.88
1,40.76,3.76
1,-4.22,64.5
-1,-6.73,-31.51
1,53.22,27.26
-1,-23.84,-38.54
1,14.08,-79.1
1,5.35,-28.69
-1,-50.63,-72.45
-1,-16.57,42.84
-1,-56.65,46.48
1,35.34,94.82
-1,-42.79,15.2
1,93.0,-27.19
1,40.82,3.17
1,60.29,-1.48
1,42.55,51.78
1,14.54,7.6
1,70.77,-56.11
-1,-97.17,91.25
-1,-44.22,42.27
1,45.28,80.5
-1,-95.31,-50.99
1,38.58,-4.75
1,33.27,-62.34
-1,0.71,-15.14
1,98.16,98.04
