classification,x1,x2,x3
-1,-79.32,-2.92,55.24
1,67.81,62.66,64.92
-1,-26.74,44.41,-39.55
1,72.15,-78.13,-88.3
-1,-8.54,4.2,-77.74
-1,-4.82,24.21,-3.87
-1,-56.72,-44.77,20.39
1,47.29,-19.55,92.92
1,55.03,47.95,-28.32
1,82.27,-97.57,86.42
-1,-76.44,30.33,-38.43
1,14.52,-33.0,-15.47
1,94.19,-16.14,-93.05
-1,-67.25,48.38,-35.86
1,-20.9,-5.6,50.65
1,59.61,-18.63,70.88
1,24.2,-39.24,6.58
1,84.26,-74.63,-94.36
-1,-98.45,-91.78,-66.42
1,-7.48,71.16,59.02
-1,-41.06,-43.04,-63.44
1,88.1,0.36,-21.09
-1,-69.02,-58.21,-0.24
-1,-46.47,80.82,-72.88
1,-4.86,-54.84,35.48
1,-37.72,4.33,55.32
-1,-74.79,-72.4,6.39
-1,-71.98,-36.82,-50.33
1,33.74,58.52,71.82
-1,-22.54,-16.13,-94.62
-1,-29.92,16.14,13.94
1,23.88,-81.83,40.09
1,33.08,17.93,-32.78
-1,19.6,69.47,-49.89
-1,-58.8,-68.97,-87.96
1,42.96,-73.04,58.33
-1,-13.56,16.47,-7.34
1,49.24,-55.56,14.58
1,99.64,17.86,50.51
-1,-31.22,36.74,7.91
-1,-70.95,-60.84,-90.04
-1,70.48,71.41,-81.08
-1,-81.63,97.26,-47.99
-1,49.74,-2.35,-76.11
1,41.52,-38.51,63.45
-1,-36.07,-79.11,-98.2
-1,-47.14,-66.79,-67.73
1,53.26,-46.22,17.14
1,38.64,-1.43,58.27
-1,0.49,-20.85,-57.7
1,90.11,88.84,38.76
1,82.01,-45.63,38.74
-1,-72.5,88.6,41.44
-1,-88.68,84.65,-75.48
1,58.0,-63.18,67.77
1,-89.77,-87.02,46.48
-1,-44.8,-46.56,-67.58
-1,-50.45,44.76,42.07
1,47.35,-87.98,-75.95
-1,-90.2,-87.09,25.09
1,6.87,-68.62,-32.86
-1,-67.98,-4.04,-1.19
-1,-96.08,-40.9,63.94
1,17.13,15.32,-13.67
1,88.11,57.33,-3.86
-1,-5.1,-72.45,-61.76
-1,-93.3,-36.41,52.49
-1,-6.44,-22.2,-64.1
1,97.77,-31.82,17.26
-1,-72.54,65.78,-36.21
1,98.23,-73.71,3.73
1,0.37,-2.0,21.15
1,35.69,-64.74,5.72
1,77.68,68.67,62.79
1,-6.97,-17.84,67.54
1,65.9,-71.19,-76.55
-1,-70.5,21.0,46.79
1,43.04,-57.57,45.24
1,-69.35,-50.76,63.31
-1,-80.41,8.93,80.86
-1,-42.17,-1.61,-16.86
1,75.1,-48.93,79.72
1,-33.76,-95.34,22.97
-1,45.3,1.04,-92.81
-1,-98.32,78.84,93.65
-1,56.35,96.31,-88.65
1,94.96,-82.57,9.53
1,93.91,-19.71,75.01
1,58.93,-51.62,25.69
1,-16.1,-37.92,-2.97
1,35.64,5.53,-28.22
1,9.97,-76.84,30.16
1,35.5,-11.8,67.41
-1,-79.25,-25.29,-24.58
1,34.43,47.68,63.9
-1,0.98,95.16,-29.5
-1,-65.1,36.06,-41.95
1,47.4,24.12,97.79
-1,-72.12,2.48,70.88
-1,-1.4,-89.45,-66.47
1,-20.32,-30.24,87.97
1,49.04,-56.19,90.23
1,65.25,18.06,-17.16
-1,35.3,27.47,-64.29
1,9.9,-34.53,37.45
1,-62.45,-39.19,64.47
1,96.23,-26.29,-48.22
-1,7.85,87.52,-83.11
-1,-81.51,-2.45,19.93
-1,80.98,83.07,-56.66
1,74.53,-63.98,-77.25
-1,14.1,-44.21,-68.34
-1,-42.32,17.06,39.11
-1,-97.4,-90.1,33.68
-1,-77.93,53.36,67.47
1,-11.7,-85.14,0.1
-1,-40.93,65.33,65.6
-1,-49.36,10.78,-22.26
1,-55.05,-87.94,84.84
-1,1.71,-3.26,-60.17
1,11.54,-97.56,38.37
-1,-10.8,-33.33,-64.42
1,69.48,43.58,23.64
1,61.44,-7.59,-21.65
-1,3.38,31.43,-5.74
-1,-98.64,-97.95,-41.91
1,-16.1,-42.12,72.79
1,91.91,37.07,3.83
-1,-23.53,-24.49,-6.6
-1,17.94,84.79,-8.76
1,91.08,4.8,-41.33
-1,-41.71,-75.82,-49.22
-1,-52.75,-55.02,-94.88
-1,-70.26,54.41,-73.92
-1,2.92,-89.19,-84.42
1,25.63,-35.68,-28.33
-1,-74.97,-87.44,-75.34
-1,1.06,84.49,20.22
-1,-83.01,0.78,-58.7
-1,63.98,4.75,-79.09
-1,86.49,89.03,-86.31
-1,-16.05,-67.52,-87.98
-1,-70.22,22.5,29.08
1,-51.69,-19.12,80.06
1,8.68,70.16,57.05
1,62.27,78.15,45.19
1,52.2,-0.5,93.75
-1,51.36,53.48,-53.83
-1,-18.7,-10.61,-75.2
1,-7.4,12.56,97.16
1,30.36,-58.9,48.65
-1,7.83,99.15,11.23
-1,-53.54,95.39,-85.02
1,5.18,-88.62,-46.79
-1,-53.11,78.52,-47.95
-1,3.82,45.36,17.54
1,30.37,-9.94,79.56
1,11.8,3.85,29.96
1,25.31,44.14,30.33
-1,-60.04,-38.89,-10.95
1,55.91,44.79,-11.69
1,-93.08,-63.03,85.8
-1,-1.98,-60.43,-83.16
1,90.87,88.08,37.16
1,57.76,22.23,-3.29
1,-45.46,-17.35,86.2
-1,-47.95,-6.45,-38.36
1,-18.29,-50.24,58.24
-1,-27.29,-22.06,-37.23
1,40.52,-15.66,98.98
1,81.46,-64.82,72.29
1,95.89,-92.05,61.21
-1,17.99,28.09,-18.62
-1,-25.51,-67.48,-38.39
1,20.6,-28.04,63.21
1,44.66,48.55,67.2
1,16.63,-87.93,-48.97
1,-0.9,-9.32,77.1
1,70.74,26.94,-24.8
-1,-83.82,47.97,29.24
-1,-47.75,98.25,-75.15
1,-11.05,-92.64,17.74
1,33.73,60.86,78.26
1,50.31,54.47,65.31
-1,-6.5,92.45,-31.01
-1,-63.73,9.03,-55.35
-1,-15.03,78.59,10.18
-1,-94.95,-90.32,-82.26
1,55.99,-90.63,-3.27
1,1.91,39.71,66.87
1,35.49,-66.06,-90.02
1,42.81,13.22,86.46
-1,-61.71,49.21,-18.85
1,37.91,-23.26,-18.84
-1,25.12,-10.23,-89.13
1,85.91,-74.47,-16.83
1,-20.54,-90.87,-25.62
-1,-37.74,85.65,48.08
1,72.82,78.26,22.5
1,36.59,-55.9,57.79
1,67.67,-99.25,-17.29
-1,-25.31,93.55,-61.01
-1,-95.88,-36.21,-91.21
-1,13.56,70.86,-59.61
-1,-65.54,77.46,-2.29
-1,-31.29,86.35,45.03
1,84.58,-82.34,57.53
1,82.98,-82.68,-94.22
1,56.21,-31.65,42.16
-1,-40.4,-88.35,-86.7
-1,-85.77,43.11,48.62
1,38.18,-14.87,21.18
1,-38.91,-89.37,95.95
-1,-62.44,36.4,80.54
-1,-8.85,42.75,-0.66
1,95.39,-83.17,-46.39
-1,-51.61,-80.69,-43.55
1,22.92,-67.61,-26.35
-1,-81.8,-15.61,-81.22
-1,-47.99,1.72,46.47
-1,-45.71,66.85,67.22
-1,-57.37,-55.2,15.03
1,31.91,-31.33,51.06
1,-30.31,63.22,86.71
1,63.2,-61.32,-43.32
-1,-90.54,22.64,-11.98
-1,-61.4,79.46,-15.69
1,93.03,53.3,-10.49
-1,-32.72,-32.56,-34.11
-1,-25.28,91.66,13.94
-1,-58.04,54.2,74.42
-1,-24.21,53.63,55.72
1,50.76,-60.44,-30.48
-1,-63.98,86.15,45.22
-1,-16.97,-25.58,-26.48
1,82.71,47.57,-15.92
1,84.57,-79.17,-19.44
1,-20.9,-69.12,-5.35
-1,18.77,65.02,9.02
1,-65.66,-64.46,82.85
1,74.14,-3.38,-19.68
1,44.31,-64.17,91.56
-1,-74.32,-80.65,-96.84
1,50.28,14.21,13.72
1,75.49,-97.46,-86.47
1,-61.36,-49.7,78.61
-1,-22.01,99.94,-68.9
1,24.35,-42.92,68.01
-1,-88.2,-27.1,-34.79
1,-58.8,-33.53,74.15
1,89.87,-59.2,13.09
1,11.47,-41.92,-25.25
-1,-94.31,40.36,76.72
1,62.61,-84.58,-59.62
-1,-71.6,4.43,37.33
-1,-95.25,47.51,-0.35
-1,-33.79,42.46,16.16
1,58.77,-68.32,68.32
1,-11.26,-77.92,47.24
-1,-31.72,-95.71,-90.08
-1,-28.93,74.39,-3.03
-1,-20.54,99.66,22.99
-1,-95.8,57.01,44.52
-1,-57.76,78.2,31.01
1,87.88,-29.24,52.52
-1,10.23,39.51,-16.59
-1,-40.95,33.03,-71.26
-1,29.65,29.07,-39.19
1,93.92,39.74,64.44
-1,-98.23,-15.36,-42.44
-1,19.21,-46.39,-66.53
1,-49.06,-89.24,21.9
-1,-87.51,-17.07,-94.47
1,64.27,61.7,52.83
1,53.21,71.42,77.5
-1,-13.78,93.48,-41.21
-1,22.85,71.52,-13.05
-1,-75.27,49.89,77.47
-1,-41.21,-36.52,-35.0
-1,-21.35,91.04,-21.46
-1,-86.03,-48.19,-86.96
-1,-25.25,-17.07,-2.43
-1,-57.7,-48.34,-53.31
1,44.75,-2.34,21.85
-1,-67.35,-73.1,-73.44
1,-61.85,-53.99,71.83
1,69.34,34.75,93.62
-1,-60.69,31.04,78.66
1,-15.04,-63.07,38.84
1,75.19,-12.28,90.5
-1,-94.63,1.99,11.96
1,-62.83,-60.37,43.16
-1,-59.39,-89.82,-86.96
1,88.88,-2.88,31.99
1,55.18,-45.5,96.01
-1,-96.46,-24.12,-34.4
1,19.54,-9.54,69.19
1,19.11,11.06,86.35
-1,-94.78,-76.92,32.44
1,60.54,70.76,78.86
-1,-7.73,77.77,41.91
1,97.6,75.4,4.13
1,45.44,-39.43,37.54
1,96.89,57.24,52.52
1,9.11,-81.73,4.89
1,-33.68,22.73,94.26
1,3.17,5.46,70.62
1,-1.94,-83.09,14.71
-1,-56.02,64.61,38.16
1,35.65,12.24,35.24
1,91.74,15.7,84.64
-1,35.31,37.36,-70.18
-1,-53.49,6.93,36.51
1,6.3,-56.0,22.87
1,59.72,-86.02,75.35
1,-25.19,-20.42,47.39
-1,-19.96,-11.5,-11.41
1,90.43,-56.54,9.96
-1,-67.12,22.62,64.84
1,95.51,-0.27,-94.05
-1,-81.34,-56.57,14.08
1,67.09,-90.89,85.42
-1,-52.06,72.42,-47.01
1,73.61,-53.52,57.4
-1,24.41,23.33,-28.62
-1,-77.32,5.3,23.18
1,20.88,72.85,82.17
1,-22.64,-59.12,-15.69
1,66.16,-83.62,34.6
1,83.76,-4.57,-97.27
1,12.67,-60.66,33.98
-1,31.3,0.85,-56.17
1,95.71,52.64,33.3
-1,-92.67,-86.5,-25.46
-1,-36.26,-1.73,11.25
1,69.11,-86.72,-55.23
-1,46.92,90.56,-2.52
-1,58.6,98.52,-20.29
1,74.67,2.44,-88.77
